"account_status","loan_duration_mths","credit_history","loan_purpose","credit_amount","savings","employment_duration","installment_rate","marital_status","other_debtors","residence_since","property","age_yrs","other_installment_plans","housing","existing_credits","occupation","people_liable","telephone","foreign_worker","target","target_bad"
"No checking account",36,"Existing credits paid back duly till now","Car (used)",4686,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Unknown / no property",32,"None","For free","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",15,"Existing credits paid back duly till now","Business",2687,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None",">= 7 years","Building society savings / life insurance",26,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",12,"Delay in paying off in the past","Radio / television",585,"< 100 DM","1 to < 4 years","< 20%","Male married/widowed","Co-applicant",">= 7 years","Real estate",20,"None","Rent","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Car (new)",2255,"Unknown / no savings account","< 1 year","< 20%","Male single","None","< 1 year","Building society savings / life insurance",54,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",6,"Critical account / other credits existing","Car (new)",609,"< 100 DM","4 to < 7 years","< 20%","Female divorced/separated/married","None","4 to < 7 years","Building society savings / life insurance",37,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","No","Good",0
"< 0 DM",6,"Critical account / other credits existing","Car (new)",1361,"< 100 DM","< 1 year","25% to < 35%","Male single","None",">= 7 years","Real estate",40,"None","Own","1","Unskilled resident","3 or more","None","No","Good",0
"No checking account",36,"Critical account / other credits existing","Furniture / equipment",7127,"< 100 DM","< 1 year","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",23,"None","Rent","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"< 0 DM",6,"Existing credits paid back duly till now","Car (new)",1203,"100 to < 500 DM",">= 7 years","20% to < 25%","Male single","None","1 to < 4 years","Building society savings / life insurance",43,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",6,"Critical account / other credits existing","Radio / television",700,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",36,"None","For free","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Critical account / other credits existing","Repairs",5507,"< 100 DM",">= 7 years","20% to < 25%","Male single","None",">= 7 years","Unknown / no property",44,"None","For free","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",18,"Existing credits paid back duly till now","Radio / television",3190,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None","1 to < 4 years","Real estate",24,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",48,"No credits taken / all credits paid back duly","Furniture / equipment",7119,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None",">= 7 years","Unknown / no property",53,"None","For free","2 to 3","Skilled employee / official","3 or more","None","Yes","Bad",1
"No checking account",24,"Existing credits paid back duly till now","Car (used)",3488,"100 to < 500 DM","4 to < 7 years","20% to < 25%","Female divorced/separated/married","None",">= 7 years","Car or other property",23,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",18,"Existing credits paid back duly till now","Radio / television",1113,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","Guarantor",">= 7 years","Real estate",26,"None","Own","1","Unskilled resident","3 or more","None","Yes","Good",0
"0 to < 200 DM",26,"Existing credits paid back duly till now","Car (used)",7966,"< 100 DM","< 1 year","25% to < 35%","Male single","None","4 to < 7 years","Car or other property",30,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",15,"Critical account / other credits existing","Education",1532,"100 to < 500 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","4 to < 7 years","Car or other property",31,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",4,"Critical account / other credits existing","Radio / television",1503,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None","< 1 year","Real estate",42,"None","Own","2 to 3","Unskilled resident","3 or more","None","Yes","Good",0
"< 0 DM",36,"Existing credits paid back duly till now","Radio / television",2302,"< 100 DM","1 to < 4 years","< 20%","Male divorced/separated","None",">= 7 years","Car or other property",31,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",6,"Existing credits paid back duly till now","Car (new)",662,"< 100 DM","< 1 year","20% to < 25%","Male single","None",">= 7 years","Real estate",41,"None","Own","1","Unskilled resident","3 or more","Yes","Yes","Good",0
"0 to < 200 DM",36,"Existing credits paid back duly till now","Education",2273,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","None","< 1 year","Car or other property",32,"None","Own","2 to 3","Skilled employee / official","3 or more","None","Yes","Good",0
"0 to < 200 DM",15,"Existing credits paid back duly till now","Car (new)",2631,"100 to < 500 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",28,"None","Rent","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",12,"Delay in paying off in the past","Car (used)",1503,"< 100 DM","1 to < 4 years","< 20%","Male married/widowed","None",">= 7 years","Real estate",41,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Radio / television",1311,"100 to < 500 DM","4 to < 7 years","< 20%","Male married/widowed","None","4 to < 7 years","Building society savings / life insurance",26,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Radio / television",3105,"Unknown / no savings account","< 1 year","< 20%","Male single","None","1 to < 4 years","Car or other property",25,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",21,"Critical account / other credits existing","Education",2319,"< 100 DM","< 1 year","25% to < 35%","Male divorced/separated","None","< 1 year","Car or other property",33,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",6,"Existing credits paid back duly till now","Car (new)",1374,"Unknown / no savings account","Unemployed","< 20%","Female divorced/separated/married","None","4 to < 7 years","Building society savings / life insurance",75,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",18,"Critical account / other credits existing","Furniture / equipment",3612,"< 100 DM",">= 7 years","20% to < 25%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",37,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",48,"Existing credits paid back duly till now","Car (new)",7763,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",42,"Bank","For free","1","Manager / self-employed / highly qualified","0 to 2","None","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",18,"Existing credits paid back duly till now","Furniture / equipment",3049,"< 100 DM","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None","< 1 year","Building society savings / life insurance",45,"Stores","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Radio / television",1534,"< 100 DM","< 1 year",">= 35% of disposable income","Male married/widowed","None","< 1 year","Real estate",23,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",24,"Delay in paying off in the past","Car (new)",2032,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",60,"None","For free","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",30,"Existing credits paid back duly till now","Furniture / equipment",6350,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",31,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",18,"Existing credits paid back duly till now","Furniture / equipment",2864,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","< 1 year","Real estate",34,"None","Own","1","Unskilled resident","3 or more","None","Yes","Bad",1
"No checking account",12,"Critical account / other credits existing","Car (new)",1255,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Real estate",61,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",24,"Delay in paying off in the past","Car (new)",1333,"< 100 DM","Unemployed","< 20%","Male single","None","1 to < 4 years","Real estate",43,"None","For free","2 to 3","Skilled employee / official","3 or more","None","Yes","Bad",1
"No checking account",24,"Critical account / other credits existing","Car (new)",2022,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None",">= 7 years","Car or other property",37,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Radio / television",1552,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","None","< 1 year","Car or other property",32,"Bank","Own","1","Skilled employee / official","3 or more","None","Yes","Good",0
"< 0 DM",12,"All credits at this bank paid back duly","Radio / television",626,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None",">= 7 years","Real estate",24,"Bank","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"No checking account",48,"Critical account / other credits existing","Car (used)",8858,"Unknown / no savings account","4 to < 7 years","25% to < 35%","Male single","None","< 1 year","Unknown / no property",35,"None","For free","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Repairs",996,"Unknown / no savings account","4 to < 7 years","< 20%","Female divorced/separated/married","None",">= 7 years","Real estate",23,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",6,"All credits at this bank paid back duly","Radio / television",1750,"500 to < 1000 DM",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Building society savings / life insurance",45,"Bank","Own","1","Unskilled resident","3 or more","None","Yes","Good",0
"< 0 DM",48,"Existing credits paid back duly till now","Radio / television",6999,"< 100 DM","4 to < 7 years",">= 35% of disposable income","Male married/widowed","Guarantor","< 1 year","Real estate",34,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"0 to < 200 DM",12,"Critical account / other credits existing","Car (new)",1995,"100 to < 500 DM","< 1 year","< 20%","Male single","None","< 1 year","Car or other property",27,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",9,"Existing credits paid back duly till now","Education",1199,"< 100 DM","4 to < 7 years","< 20%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",67,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Radio / television",1331,"< 100 DM","< 1 year","25% to < 35%","Male single","None","< 1 year","Car or other property",22,"Stores","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",18,"No credits taken / all credits paid back duly","Car (new)",2278,"100 to < 500 DM","< 1 year","20% to < 25%","Female divorced/separated/married","None","4 to < 7 years","Car or other property",28,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",21,"No credits taken / all credits paid back duly","Car (new)",5003,"Unknown / no savings account","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",29,"Bank","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"< 0 DM",24,"All credits at this bank paid back duly","Furniture / equipment",3552,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","None",">= 7 years","Car or other property",27,"Bank","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",18,"Critical account / other credits existing","Furniture / equipment",1928,"< 100 DM","< 1 year","25% to < 35%","Male single","None","1 to < 4 years","Real estate",31,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Bad",1
"< 0 DM",24,"Existing credits paid back duly till now","Car (used)",2964,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",49,"Bank","For free","1","Skilled employee / official","3 or more","Yes","Yes","Good",0
"< 0 DM",24,"All credits at this bank paid back duly","Radio / television",1546,"< 100 DM","4 to < 7 years","< 20%","Male single","Guarantor",">= 7 years","Car or other property",24,"Bank","Rent","1","Unskilled resident","0 to 2","None","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",6,"Delay in paying off in the past","Radio / television",683,"< 100 DM","< 1 year","25% to < 35%","Female divorced/separated/married","None","< 1 year","Building society savings / life insurance",29,"Bank","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",36,"Existing credits paid back duly till now","Car (new)",12389,"Unknown / no savings account","1 to < 4 years",">= 35% of disposable income","Male single","None",">= 7 years","Unknown / no property",37,"None","For free","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"0 to < 200 DM",24,"Delay in paying off in the past","Business",4712,"Unknown / no savings account","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",37,"Bank","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",24,"Delay in paying off in the past","Radio / television",1553,"100 to < 500 DM","4 to < 7 years","20% to < 25%","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",23,"None","Rent","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Car (new)",1372,"< 100 DM","4 to < 7 years","25% to < 35%","Male divorced/separated","None","4 to < 7 years","Car or other property",36,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",24,"Critical account / other credits existing","Radio / television",2578,">= 1000 DM",">= 7 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",34,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",48,"Existing credits paid back duly till now","Radio / television",3979,"Unknown / no savings account","4 to < 7 years","< 20%","Male single","None","< 1 year","Car or other property",41,"None","Own","2 to 3","Skilled employee / official","3 or more","Yes","Yes","Good",0
"< 0 DM",48,"Existing credits paid back duly till now","Radio / television",6758,"< 100 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",31,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"< 0 DM",24,"Existing credits paid back duly till now","Furniture / equipment",3234,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None",">= 7 years","Real estate",23,"None","Rent","1","Unskilled resident","0 to 2","Yes","Yes","Bad",1
"No checking account",30,"Critical account / other credits existing","Radio / television",5954,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","Co-applicant","1 to < 4 years","Car or other property",38,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Car (used)",5433,"Unknown / no savings account","Unemployed","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",26,"None","Rent","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"< 0 DM",15,"Existing credits paid back duly till now","Business",806,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",22,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",9,"Existing credits paid back duly till now","Radio / television",1082,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",27,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",15,"Critical account / other credits existing","Furniture / equipment",2788,"< 100 DM","4 to < 7 years","25% to < 35%","Female divorced/separated/married","Co-applicant","4 to < 7 years","Car or other property",24,"Bank","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Radio / television",2930,"< 100 DM","4 to < 7 years","25% to < 35%","Female divorced/separated/married","None","< 1 year","Real estate",27,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Critical account / other credits existing","Education",1927,"Unknown / no savings account","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",33,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",36,"Critical account / other credits existing","Car (new)",2820,"< 100 DM","< 1 year","< 20%","Male divorced/separated","None",">= 7 years","Car or other property",27,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",24,"Existing credits paid back duly till now","Retraining",937,"< 100 DM","< 1 year","< 20%","Male married/widowed","None","4 to < 7 years","Car or other property",27,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",18,"Critical account / other credits existing","Car (new)",1056,"< 100 DM",">= 7 years","20% to < 25%","Male single","Guarantor","4 to < 7 years","Real estate",30,"Bank","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",12,"Critical account / other credits existing","Car (new)",3124,"< 100 DM","< 1 year",">= 35% of disposable income","Male single","None","4 to < 7 years","Real estate",49,"Bank","Own","2 to 3","Unskilled resident","3 or more","None","Yes","Good",0
"No checking account",9,"Existing credits paid back duly till now","Furniture / equipment",1388,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Real estate",26,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",36,"Existing credits paid back duly till now","Repairs",2384,"< 100 DM","< 1 year","< 20%","Male single","None","< 1 year","Unknown / no property",33,"None","Rent","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"No checking account",12,"Existing credits paid back duly till now","Car (new)",2133,"Unknown / no savings account",">= 7 years","< 20%","Female divorced/separated/married","None",">= 7 years","Unknown / no property",52,"None","For free","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"< 0 DM",18,"Existing credits paid back duly till now","Furniture / equipment",2039,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Real estate",20,"Bank","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",9,"Critical account / other credits existing","Car (new)",2799,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Real estate",36,"None","Rent","2 to 3","Skilled employee / official","3 or more","None","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Furniture / equipment",1289,"< 100 DM","1 to < 4 years","< 20%","Male single","Guarantor","< 1 year","Building society savings / life insurance",21,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",18,"Existing credits paid back duly till now","Domestic appliances",1217,"< 100 DM","1 to < 4 years","< 20%","Male married/widowed","None","4 to < 7 years","Real estate",47,"None","Own","1","Unskilled resident","0 to 2","Yes","Yes","Bad",1
"< 0 DM",12,"Critical account / other credits existing","Furniture / equipment",2246,"< 100 DM",">= 7 years","20% to < 25%","Male single","None","4 to < 7 years","Building society savings / life insurance",60,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",12,"Critical account / other credits existing","Radio / television",385,"< 100 DM","4 to < 7 years","< 20%","Female divorced/separated/married","None","4 to < 7 years","Real estate",58,"None","Own",">= 6","Unskilled resident","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",24,"Delay in paying off in the past","Car (new)",1965,"Unknown / no savings account","1 to < 4 years","< 20%","Female divorced/separated/married","None",">= 7 years","Car or other property",42,"None","Rent","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",21,"Existing credits paid back duly till now","Business",1572,">= 1000 DM",">= 7 years","< 20%","Female divorced/separated/married","None",">= 7 years","Real estate",36,"Bank","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",24,"Existing credits paid back duly till now","Car (new)",2718,"< 100 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",20,"None","Rent","1","Unskilled resident","0 to 2","Yes","Yes","Bad",1
"< 0 DM",24,"All credits at this bank paid back duly","Others",1358,"Unknown / no savings account",">= 7 years","< 20%","Male single","None","4 to < 7 years","Car or other property",40,"Stores","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"0 to < 200 DM",6,"All credits at this bank paid back duly","Car (new)",931,"100 to < 500 DM","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None","< 1 year","Building society savings / life insurance",32,"Stores","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"< 0 DM",24,"Existing credits paid back duly till now","Car (new)",1442,"< 100 DM","4 to < 7 years","< 20%","Female divorced/separated/married","None",">= 7 years","Car or other property",23,"None","Rent","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",24,"No credits taken / all credits paid back duly","Business",4241,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male single","None",">= 7 years","Real estate",36,"None","Own","4 to 5","Unskilled resident","0 to 2","Yes","Yes","Bad",1
"No checking account",18,"Critical account / other credits existing","Car (new)",2775,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None","1 to < 4 years","Building society savings / life insurance",31,"Bank","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",24,"Delay in paying off in the past","Business",3863,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male single","None","1 to < 4 years","Unknown / no property",32,"None","For free","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",7,"Existing credits paid back duly till now","Radio / television",2329,"< 100 DM","< 1 year",">= 35% of disposable income","Female divorced/separated/married","Guarantor","< 1 year","Real estate",45,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",9,"Existing credits paid back duly till now","Furniture / equipment",918,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","< 1 year","Building society savings / life insurance",30,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",24,"All credits at this bank paid back duly","Education",1837,"< 100 DM","4 to < 7 years","< 20%","Female divorced/separated/married","None",">= 7 years","Unknown / no property",34,"Bank","For free","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"No checking account",36,"Existing credits paid back duly till now","Furniture / equipment",3349,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",28,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",10,"Existing credits paid back duly till now","Furniture / equipment",1275,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",23,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",24,"All credits at this bank paid back duly","Furniture / equipment",2828,"500 to < 1000 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Real estate",22,"Stores","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",24,"Critical account / other credits existing","Business",4526,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None","1 to < 4 years","Real estate",74,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",36,"Existing credits paid back duly till now","Radio / television",2671,"100 to < 500 DM","1 to < 4 years","< 20%","Female divorced/separated/married","Co-applicant",">= 7 years","Unknown / no property",50,"None","For free","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",18,"Existing credits paid back duly till now","Radio / television",2051,"< 100 DM","< 1 year","< 20%","Male single","None","< 1 year","Real estate",33,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",15,"Existing credits paid back duly till now","Car (used)",1300,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",45,"Bank","For free","1","Skilled employee / official","3 or more","None","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Domestic appliances",741,"100 to < 500 DM","Unemployed","< 20%","Female divorced/separated/married","None","4 to < 7 years","Building society savings / life insurance",22,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",10,"Existing credits paid back duly till now","Car (new)",1240,"100 to < 500 DM",">= 7 years",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Unknown / no property",48,"None","For free","1","Unskilled resident","3 or more","None","Yes","Bad",1
"< 0 DM",21,"Existing credits paid back duly till now","Radio / television",3357,">= 1000 DM","< 1 year","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",29,"Bank","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",24,"All credits at this bank paid back duly","Car (used)",3632,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","Guarantor",">= 7 years","Car or other property",22,"Bank","Rent","1","Skilled employee / official","0 to 2","None","No","Good",0
"No checking account",18,"Delay in paying off in the past","Furniture / equipment",1808,"< 100 DM","4 to < 7 years","< 20%","Female divorced/separated/married","None","< 1 year","Real estate",22,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",48,"No credits taken / all credits paid back duly","Business",12204,"Unknown / no savings account","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",48,"Bank","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",60,"Delay in paying off in the past","Radio / television",9157,"Unknown / no savings account","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Unknown / no property",27,"None","For free","1","Manager / self-employed / highly qualified","0 to 2","None","Yes","Good",0
"< 0 DM",6,"Critical account / other credits existing","Car (new)",3676,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male single","None","4 to < 7 years","Real estate",37,"None","Rent","4 to 5","Skilled employee / official","3 or more","None","Yes","Good",0
"0 to < 200 DM",30,"Existing credits paid back duly till now","Furniture / equipment",3441,"100 to < 500 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","Co-applicant",">= 7 years","Car or other property",21,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",12,"Existing credits paid back duly till now","Car (new)",640,"< 100 DM","1 to < 4 years","< 20%","Male divorced/separated","None","1 to < 4 years","Real estate",49,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",21,"Critical account / other credits existing","Business",3652,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None","4 to < 7 years","Building society savings / life insurance",27,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",18,"Critical account / other credits existing","Car (new)",1530,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None","1 to < 4 years","Building society savings / life insurance",32,"Bank","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",48,"Existing credits paid back duly till now","Business",3914,"Unknown / no savings account","1 to < 4 years","< 20%","Male divorced/separated","None","1 to < 4 years","Real estate",38,"Bank","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",12,"Existing credits paid back duly till now","Furniture / equipment",1858,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None","< 1 year","Car or other property",22,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",18,"Existing credits paid back duly till now","Radio / television",2600,"< 100 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Unknown / no property",65,"None","For free","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
